From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O00482	O00482	reviewed	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	541
O00482	O00482-2	reviewed	NR5A2_HUMAN	Isoform 1 of Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	495
O00483	O00483	reviewed	CXFA4_HUMAN	Cytochrome c oxidase subunit FA4 (Complex I-MLRQ) (CI-MLRQ) (Cytochrome c oxidase subunit NDUFA4) (NADH-ubiquinone oxidoreductase MLRQ subunit)	COXFA4 NDUFA4	Homo sapiens (Human)	81
O00487	O00487	reviewed	PSDE_HUMAN	Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	Homo sapiens (Human)	310
O00499	O00499	reviewed	BIN1_HUMAN	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1)	BIN1 AMPHL	Homo sapiens (Human)	593
O00519	O00519	reviewed	FAAH1_HUMAN	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Fatty acid ester hydrolase) (EC 3.1.1.-) (Oleamide hydrolase 1)	FAAH FAAH1	Homo sapiens (Human)	579
O00533	O00533	reviewed	NCHL1_HUMAN	Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein]	CHL1 CALL	Homo sapiens (Human)	1208
O00541	O00541	reviewed	PESC_HUMAN	Pescadillo homolog	PES1	Homo sapiens (Human)	588
O00548	O00548	reviewed	DLL1_HUMAN	Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1)	DLL1 UNQ146/PRO172	Homo sapiens (Human)	723
O00555	O00555	reviewed	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	CACNA1A CACH4 CACN3 CACNL1A4	Homo sapiens (Human)	2506
O00560	O00560	reviewed	SDCB1_HUMAN	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	SDCBP MDA9 SYCL	Homo sapiens (Human)	298
O00566	O00566	reviewed	MPP10_HUMAN	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10	Homo sapiens (Human)	681
O00567	O00567	reviewed	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594
O00570	O00570	reviewed	SOX1_HUMAN	Transcription factor SOX-1	SOX1	Homo sapiens (Human)	391
O00574	O00574	reviewed	CXCR6_HUMAN	C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	CXCR6 BONZO STRL33 TYMSTR	Homo sapiens (Human)	342
O00602	O00602	reviewed	FCN1_HUMAN	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	FCN1 FCNM	Homo sapiens (Human)	326
O00623	O00623	reviewed	PEX12_HUMAN	Peroxisome assembly protein 12 (Peroxin-12) (Peroxisome assembly factor 3) (PAF-3)	PEX12 PAF3	Homo sapiens (Human)	359
O00625	O00625	reviewed	PIR_HUMAN	Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)	PIR	Homo sapiens (Human)	290
O00628	O00628	reviewed	PEX7_HUMAN	Peroxisomal targeting signal 2 receptor (PTS2 receptor) (Peroxin-7)	PEX7 PTS2R	Homo sapiens (Human)	323
O00631	O00631	reviewed	SARCO_HUMAN	Sarcolipin	SLN	Homo sapiens (Human)	31
O00634	O00634	reviewed	NET3_HUMAN	Netrin-3 (Netrin-2-like protein)	NTN3 NTN2L	Homo sapiens (Human)	580
O00712	O00712	reviewed	NFIB_HUMAN	Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein)	NFIB	Homo sapiens (Human)	420
O00743	O00743	reviewed	PPP6_HUMAN	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	PPP6C PPP6	Homo sapiens (Human)	305
O00746	O00746	reviewed	NDKD_HUMAN	Nucleoside diphosphate kinase D, mitochondrial (NDPK-D) (EC 2.7.4.6) (Nucleoside diphosphate kinase 4) (NDK4) (nm23-H4)	NME4 NM23D	Homo sapiens (Human)	187
O00748	O00748	reviewed	EST2_HUMAN	Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56)	CES2 ICE	Homo sapiens (Human)	559
O00754	O00754	reviewed	MA2B1_HUMAN	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	MAN2B1 LAMAN MANB	Homo sapiens (Human)	1011
O00757	O00757	reviewed	F16P2_HUMAN	Fructose-1,6-bisphosphatase isozyme 2 (FBPase 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)	FBP2	Homo sapiens (Human)	339
O00762	O00762	reviewed	UBE2C_HUMAN	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	UBE2C UBCH10	Homo sapiens (Human)	179
O00763	O00763	reviewed	ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	ACACB ACC2 ACCB	Homo sapiens (Human)	2458
O00764	O00764	reviewed	PDXK_HUMAN	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	PDXK C21orf124 C21orf97 PKH PNK PRED79	Homo sapiens (Human)	312
O00767	O00767	reviewed	SCD_HUMAN	Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase)	SCD FADS5 SCD1 SCDOS	Homo sapiens (Human)	359
O14492	O14492	reviewed	SH2B2_HUMAN	SH2B adapter protein 2 (Adapter protein with pleckstrin homology and Src homology 2 domains) (SH2 and PH domain-containing adapter protein APS)	SH2B2 APS	Homo sapiens (Human)	632
O14494	O14494	reviewed	PLPP1_HUMAN	Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a)	PLPP1 LPP1 PPAP2A	Homo sapiens (Human)	284
O14503	O14503	reviewed	BHE40_HUMAN	Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated by retinoic acid gene 13 protein)	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13	Homo sapiens (Human)	412
O14511	O14511	reviewed	NRG2_HUMAN	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Divergent of neuregulin-1) (DON-1) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]	NRG2 NTAK	Homo sapiens (Human)	850
O14520	O14520	reviewed	AQP7_HUMAN	Aquaporin-7 (AQP-7) (Aquaglyceroporin-7) (Aquaporin adipose) (AQPap) (Aquaporin-7-like)	AQP7 AQP7L AQP9	Homo sapiens (Human)	342
O14521	O14521	reviewed	DHSD_HUMAN	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (CII-4) (Malate dehydrogenase [quinone] cytochrome b small subunit) (QPs3) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone oxidoreductase cytochrome b small subunit) (Succinate-ubiquinone reductase membrane anchor subunit)	SDHD SDH4	Homo sapiens (Human)	159
O14526	O14526	reviewed	FCHO1_HUMAN	F-BAR domain only protein 1	FCHO1 KIAA0290	Homo sapiens (Human)	889
O14543	O14543	reviewed	SOCS3_HUMAN	Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3)	SOCS3 CIS3 SSI3	Homo sapiens (Human)	225
O14556	O14556	reviewed	G3PT_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)	GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35	Homo sapiens (Human)	408
O14561	O14561	reviewed	ACPM_HUMAN	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	NDUFAB1	Homo sapiens (Human)	156
O14578	O14578	reviewed	CTRO_HUMAN	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	2027
O14578	O14578-3	reviewed	CTRO_HUMAN	Isoform 3 of Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	1544
O14579	O14579	reviewed	COPE_HUMAN	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)	COPE	Homo sapiens (Human)	308
O14594	O14594	reviewed	NCAN_HUMAN	Neurocan core protein (Chondroitin sulfate proteoglycan 3)	NCAN CSPG3 NEUR	Homo sapiens (Human)	1321
O14595	O14595	reviewed	CTDS2_HUMAN	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2 (EC 3.1.3.16) (Nuclear LIM interactor-interacting factor 2) (NLI-interacting factor 2) (Protein OS-4) (Small C-terminal domain phosphatase 2) (Small CTD phosphatase 2) (SCP2)	CTDSP2 NIF2 OS4 SCP2	Homo sapiens (Human)	271
O14618	O14618	reviewed	CCS_HUMAN	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	CCS	Homo sapiens (Human)	274
O14638	O14638	reviewed	ENPP3_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Alkaline phosphodiesterase I) (EC 3.1.4.1) (Dinucleoside polyphosphatase) (EC 3.6.1.-) (Nucleotide diphosphatase) (Nucleotide pyrophosphatase) (NPPase) (EC 3.6.1.9) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c)	ENPP3 PDNP3	Homo sapiens (Human)	875
O14640	O14640	reviewed	DVL1_HUMAN	Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1)	DVL1	Homo sapiens (Human)	695
O14641	O14641	reviewed	DVL2_HUMAN	Segment polarity protein dishevelled homolog DVL-2 (Dishevelled-2) (DSH homolog 2)	DVL2	Homo sapiens (Human)	736
O14649	O14649	reviewed	KCNK3_HUMAN	Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1)	KCNK3 TASK TASK1	Homo sapiens (Human)	394
O14653	O14653	reviewed	GOSR2_HUMAN	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	GOSR2 GS27	Homo sapiens (Human)	212
O14656	O14656	reviewed	TOR1A_HUMAN	Torsin-1A (Dystonia 1 protein) (Torsin ATPase-1A) (EC 3.6.4.-) (Torsin family 1 member A)	TOR1A DQ2 DYT1 TA TORA	Homo sapiens (Human)	332
O14657	O14657	reviewed	TOR1B_HUMAN	Torsin-1B (Torsin ATPase-1B) (EC 3.6.4.-) (Torsin family 1 member B)	TOR1B DQ1 FKSG18	Homo sapiens (Human)	336
O14662	O14662	reviewed	STX16_HUMAN	Syntaxin-16 (Syn16)	STX16	Homo sapiens (Human)	325
O14672	O14672	reviewed	ADA10_HUMAN	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	Homo sapiens (Human)	748
O14678	O14678	reviewed	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4 (EC 7.6.2.8) (ATP-binding cassette sub-family D member 4) (PMP70-related protein) (P70R) (Peroxisomal membrane protein 1-like) (PXMP1-L) (Peroxisomal membrane protein 69) (PMP69)	ABCD4 PXMP1L	Homo sapiens (Human)	606
O14684	O14684	reviewed	PTGES_HUMAN	Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)	PTGES MGST1L1 MPGES1 PGES PIG12	Homo sapiens (Human)	152
O14717	O14717	reviewed	TRDMT_HUMAN	tRNA (cytosine(38)-C(5))-methyltransferase (EC 2.1.1.204) (DNA (cytosine-5)-methyltransferase-like protein 2) (Dnmt2) (DNA methyltransferase homolog HsaIIP) (DNA MTase homolog HsaIIP) (M.HsaIIP) (PuMet)	TRDMT1 DNMT2	Homo sapiens (Human)	391
O14727	O14727	reviewed	APAF_HUMAN	Apoptotic protease-activating factor 1 (APAF-1)	APAF1 KIAA0413	Homo sapiens (Human)	1248
O14730	O14730	reviewed	RIOK3_HUMAN	Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog)	RIOK3 SUDD	Homo sapiens (Human)	519
O14732	O14732	reviewed	IMPA2_HUMAN	Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2)	IMPA2 IMP.18P	Homo sapiens (Human)	288
O14733	O14733	reviewed	MP2K7_HUMAN	Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2)	MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4	Homo sapiens (Human)	419
O14734	O14734	reviewed	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (HIV-Nef-associated acyl-CoA thioesterase) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)	ACOT8 ACTEIII PTE1	Homo sapiens (Human)	319
O14744	O14744	reviewed	ANM5_HUMAN	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	Homo sapiens (Human)	637
O14746	O14746	reviewed	TERT_HUMAN	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	Homo sapiens (Human)	1132
O14757	O14757	reviewed	CHK1_HUMAN	Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	CHEK1 CHK1	Homo sapiens (Human)	476
O14763	O14763	reviewed	TR10B_HUMAN	Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262)	TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186	Homo sapiens (Human)	440
O14772	O14772	reviewed	FPGT_HUMAN	Fucose-1-phosphate guanylyltransferase (EC 2.7.7.30) (GDP-L-fucose diphosphorylase) (GDP-L-fucose pyrophosphorylase)	FPGT GFPP	Homo sapiens (Human)	607
O14773	O14773	reviewed	TPP1_HUMAN	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563
O14776	O14776	reviewed	TCRG1_HUMAN	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)	TCERG1 CA150 TAF2S	Homo sapiens (Human)	1098
O14777	O14777	reviewed	NDC80_HUMAN	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	NDC80 HEC HEC1 KNTC2	Homo sapiens (Human)	642
O14786	O14786	reviewed	NRP1_HUMAN	Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)	NRP1 NRP VEGF165R	Homo sapiens (Human)	923
O14788	O14788	reviewed	TNF11_HUMAN	Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]	TNFSF11 OPGL RANKL TRANCE	Homo sapiens (Human)	317
O14791	O14791	reviewed	APOL1_HUMAN	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	APOL1 APOL	Homo sapiens (Human)	398
O14792	O14792	reviewed	HS3S1_HUMAN	Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1)	HS3ST1 3OST 3OST1	Homo sapiens (Human)	307
O14793	O14793	reviewed	GDF8_HUMAN	Growth/differentiation factor 8 (GDF-8) (Myostatin)	MSTN GDF8	Homo sapiens (Human)	375
O14795	O14795	reviewed	UN13B_HUMAN	Protein unc-13 homolog B (Munc13-2) (munc13)	UNC13B UNC13	Homo sapiens (Human)	1591
O14802	O14802	reviewed	RPC1_HUMAN	DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (DNA-directed RNA polymerase III subunit A) (RNA polymerase III 155 kDa subunit) (RPC155) (RNA polymerase III subunit C160)	POLR3A	Homo sapiens (Human)	1390
O14807	O14807	reviewed	RASM_HUMAN	Ras-related protein M-Ras (EC 3.6.5.2) (Ras-related protein R-Ras3)	MRAS RRAS3	Homo sapiens (Human)	208
O14810	O14810	reviewed	CPLX1_HUMAN	Complexin-1 (Complexin I) (CPX I) (Synaphin-2)	CPLX1	Homo sapiens (Human)	134
O14818	O14818	reviewed	PSA7_HUMAN	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7) (Proteasome subunit alpha-4) (alpha-4)	PSMA7 HSPC	Homo sapiens (Human)	248
O14827	O14827	reviewed	RGRF2_HUMAN	Ras-specific guanine nucleotide-releasing factor 2 (Ras-GRF2) (Ras guanine nucleotide exchange factor 2)	RASGRF2 GRF2	Homo sapiens (Human)	1237
O14829	O14829	reviewed	PPE1_HUMAN	Serine/threonine-protein phosphatase with EF-hands 1 (PPEF-1) (EC 3.1.3.16) (Protein phosphatase with EF calcium-binding domain) (PPEF) (Serine/threonine-protein phosphatase 7) (PP7)	PPEF1 PPEF PPP7C	Homo sapiens (Human)	653
O14832	O14832	reviewed	PAHX_HUMAN	Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)	PHYH PAHX	Homo sapiens (Human)	338
O14841	O14841	reviewed	OPLA_HUMAN	5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)	OPLAH	Homo sapiens (Human)	1288
O14842	O14842	reviewed	FFAR1_HUMAN	Free fatty acid receptor 1 (G-protein coupled receptor 40)	FFAR1 GPR40	Homo sapiens (Human)	300
O14862	O14862	reviewed	AIM2_HUMAN	Interferon-inducible protein AIM2 (Absent in melanoma 2)	AIM2	Homo sapiens (Human)	343
O14867	O14867	reviewed	BACH1_HUMAN	Transcription regulator protein BACH1 (BTB and CNC homolog 1) (HA2303)	BACH1	Homo sapiens (Human)	736
O14874	O14874	reviewed	BCKD_HUMAN	Branched-chain alpha-ketoacid dehydrogenase kinase (BCKDH kinase) (BCKDHKIN) (BDK) (EC 2.7.11.1) ([3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial) (EC 2.7.11.4)	BCKDK	Homo sapiens (Human)	412
O14879	O14879	reviewed	IFIT3_HUMAN	Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G)	IFIT3 CIG-49 IFI60 IFIT4 ISG60	Homo sapiens (Human)	490
O14880	O14880	reviewed	MGST3_HUMAN	Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)	MGST3	Homo sapiens (Human)	152
O14893	O14893	reviewed	GEMI2_HUMAN	Gem-associated protein 2 (Gemin-2) (Component of gems 2) (Survival of motor neuron protein-interacting protein 1) (SMN-interacting protein 1)	GEMIN2 SIP1	Homo sapiens (Human)	280
O14905	O14905	reviewed	WNT9B_HUMAN	Protein Wnt-9b (Protein Wnt-14b) (Protein Wnt-15)	WNT9B WNT14B WNT15 UNQ6973/PRO21956	Homo sapiens (Human)	357
O14920	O14920	reviewed	IKKB_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK-2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1)	IKBKB IKKB	Homo sapiens (Human)	756
O14925	O14925	reviewed	TIM23_HUMAN	Mitochondrial import inner membrane translocase subunit Tim23	TIMM23 TIM23	Homo sapiens (Human)	209
O14926	O14926	reviewed	FSCN2_HUMAN	Fascin-2 (Retinal fascin)	FSCN2	Homo sapiens (Human)	492
O14929	O14929	reviewed	HAT1_HUMAN	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1) (Histone methacryltransferase HAT1) (EC 2.3.1.-)	HAT1 KAT1	Homo sapiens (Human)	419
O14933	O14933	reviewed	UB2L6_HUMAN	Ubiquitin/ISG15-conjugating enzyme E2 L6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L6) (Retinoic acid-induced gene B protein) (RIG-B) (UbcH8) (Ubiquitin carrier protein L6) (Ubiquitin-protein ligase L6)	UBE2L6 UBCH8	Homo sapiens (Human)	153
O14936	O14936	reviewed	CSKP_HUMAN	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	CASK LIN2	Homo sapiens (Human)	926
O14949	O14949	reviewed	QCR8_HUMAN	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)	UQCRQ	Homo sapiens (Human)	82
O14957	O14957	reviewed	QCR10_HUMAN	Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein)	UQCR11 UQCR	Homo sapiens (Human)	56
